﻿交易所,代码,公司,行业,PE-TTM(扣非)  (最近时间),PB(不含商誉)  (最近时间),股息率 % (最近时间),股价  (最近时间),PB(不含商誉)分位点(10年) % (最近时间)
sh,="600606",绿地控股,住宅地产开发和管理,6.56,1.32,4.11,7.3,18.64
sh,="601577",长沙银行,银行,6.52,0.99,3.09,9.06,30.56
sh,="600971",恒源煤电,煤炭,6.51,0.87,5.93,5.76,11.94
sh,="601009",南京银行,银行,6.49,1.13,4.29,9.14,35.36
sz,="000898",鞍钢股份,黑色金属,6.48,0.56,5.48,3.09,20.54
sh,="600068",葛洲坝,建筑与工程,6.44,1.04,3.01,5.98,6.78
sh,="601588",北辰实业,住宅地产开发和管理,6.42,0.81,3.46,3.47,6.8
sz,="000830",鲁西化工,农用化工,6.42,1.37,5.21,9.59,35.04
sh,="600348",阳泉煤业,煤炭,6.41,0.77,5.37,5.21,1.86
sh,="601998",中信银行,银行,6.31,0.73,3.79,6.07,7.25
sh,="600376",首开股份,住宅地产开发和管理,6.18,0.97,4.51,8.87,21.8
sh,="601838",成都银行,银行,6.13,0.99,4.09,8.55,32.12
sh,="601668",中国建筑,建筑与工程,6.11,1,3.05,5.5,16.01
sh,="601288",农业银行,银行,6.04,0.76,4.84,3.59,1.87
sh,="600569",安阳钢铁,黑色金属,5.95,0.7,3.49,2.39,28.53
sh,="600188",兖州煤业,煤炭,5.93,0.99,4.98,10.85,10.09
sh,="600919",江苏银行,银行,5.91,0.83,4.76,7.15,37.4
sh,="601988",中国银行,银行,5.9,0.69,4.99,3.69,1.28
sh,="600997",开滦股份,煤炭,5.84,0.81,4.68,5.56,3.64
sz,="000069",华侨城Ａ,酒店餐饮与休闲,5.82,1.01,4.09,7.34,8.53
sh,="601328",交通银行,银行,5.64,0.67,5.25,5.71,4.92
sh,="600153",建发股份,工业贸易经销商,5.63,0.92,5.68,8.81,5.99
sh,="601169",北京银行,银行,5.59,0.68,5.09,5.62,2.27
sh,="601997",贵阳银行,银行,5.28,0.93,3.19,8.95,12.11
sh,="600016",民生银行,银行,5.21,0.66,5.54,6.23,6.69
sz,="002146",荣盛发展,住宅地产开发和管理,4.83,1.2,5,9,3.98
sh,="600282",南钢股份,黑色金属,4.16,0.88,9.4,3.19,11.94
sz,="002110",三钢闽光,黑色金属,3.63,1.15,16.46,8.1,26.43
sh,="601003",柳钢股份,黑色金属,3.53,1.3,11.52,5.21,18.07
sh,="600782",新钢股份,黑色金属,2.64,0.72,4.42,4.53,13.26

数据来源于：理杏仁网站(lixinger.com)
