﻿交易所,代码,公司,行业,PE-TTM(扣非)  (最近时间),PB(不含商誉)  (最近时间),股息率 % (最近时间),股价  (最近时间),PB(不含商誉)分位点(10年) % (最近时间)
sz,="000726",鲁泰Ａ,纺织品,9.86,1.13,5.34,9.36,1.25
sz,="000983",西山煤电,煤炭,9.85,0.96,5.07,5.92,1.49
sz,="000719",中原传媒,传媒,9.79,0.92,3.56,7.02,0.71
sh,="600820",隧道股份,建筑与工程,9.77,0.89,3.21,5.92,1.52
sh,="600350",山东高速,交通基本设施,9.7,0.89,4.48,4.93,31.72
sz,="000581",威孚高科,汽车零配件与设备,9.66,1.06,7.16,16.76,0.37
sz,="002394",联发股份,纺织品,9.56,1.01,6.27,9.57,2.09
sh,="603980",吉华集团,化学制品,9.35,1.4,3.61,8.9,8.27
sz,="002091",江苏国泰,工业贸易经销商,9.28,1.08,3.65,5.48,0.96
sz,="000828",东莞控股,交通基本设施,9.28,1.36,3.23,8.37,11.51
sz,="000709",河钢股份,黑色金属,9.22,0.58,4.04,2.54,17.71
sz,="002936",郑州银行,银行,9.13,0.94,3.11,4.83,9.38
sh,="600395",盘江股份,煤炭,9.1,1.44,7.59,5.27,11.62
sh,="600308",华泰股份,纸类与林业产品,8.9,0.66,4.2,4.4,23.86
sh,="600177",雅戈尔,住宅地产开发和管理,8.87,1.17,5.48,6.52,17.36
sh,="600596",新安股份,农用化工,8.8,1.23,5.56,9.54,5.52
sh,="600708",光明地产,住宅地产开发和管理,8.78,0.73,5.35,3.74,1.56
sh,="600908",无锡银行,银行,8.75,0.99,3.23,5.57,7.46
sh,="600565",迪马股份,住宅地产开发和管理,8.7,1.05,8.16,3.43,8.27
sz,="002233",塔牌集团,建筑材料,8.65,1.33,7.42,9.84,1.05
sh,="600449",宁夏建材,建筑材料,8.55,0.9,3.13,9.58,15.85
sh,="600012",皖通高速,交通基本设施,8.36,0.95,4.46,5.61,6.8
sh,="600665",天地源,住宅地产开发和管理,8.31,0.89,4.14,3.53,0.87
sh,="600502",安徽建工,建筑与工程,8.23,1.02,3.56,4.21,3.63
sh,="601088",中国神华,煤炭,8.09,1.17,4.73,18.6,27.33
sz,="000778",新兴铸管,黑色金属,8.04,0.77,5.05,3.96,1.78
sh,="601006",大秦铁路,陆运,7.92,1.07,6.22,7.72,2.69
sh,="601699",潞安环能,煤炭,7.84,0.86,3.68,7.28,0.58
sz,="002128",露天煤业,煤炭,7.84,1.03,4.73,8.45,2.1
sz,="000877",天山股份,建筑材料,7.83,1.31,3.52,10.79,50.71
sh,="600823",世茂股份,住宅地产开发和管理,7.77,0.68,5.91,4.4,6.08
sh,="600743",华远地产,住宅地产开发和管理,7.76,0.76,4.8,2.5,2.95
sh,="600019",宝钢股份,黑色金属,7.6,0.78,8.4,5.95,29.56
sh,="600985",淮北矿业,化学制品,7.47,1.32,4.81,10.4,4.89
sz,="000036",华联控股,住宅地产开发和管理,7.47,1.38,10.83,4.26,1.94
sh,="600970",中材国际,专用设备,7.47,1.3,4.27,6.2,1.51
sh,="600325",华发股份,住宅地产开发和管理,7.39,1.34,4.47,7.83,56.72
sz,="000402",金融街,住宅地产开发和管理,7.33,0.75,3.7,8.11,15.31
sh,="601229",上海银行,银行,7.25,0.98,3.53,9.81,54.87
sh,="600808",马钢股份,黑色金属,7.2,0.84,13.38,2.69,31.13
sh,="600383",金地集团,住宅地产开发和管理,7.18,1.33,4.58,13.11,33.28
sh,="600123",兰花科创,煤炭,6.96,0.73,4.6,6.52,0.7
sh,="601939",建设银行,银行,6.92,0.96,4.21,7.27,27.95
sz,="000900",现代投资,交通基本设施,6.85,0.74,3.26,4.6,8.61
sh,="601398",工商银行,银行,6.71,0.91,4.38,5.72,19.03
sh,="601818",光大银行,银行,6.63,0.81,3.54,4.55,23.27
sh,="601166",兴业银行,银行,6.59,0.87,3.62,19.08,13.94
